Vendedor,Fecha,Cliente,Cajas de Papel
Jim Halpert,05/01/2026,Schrute Farms,"1,200"
Mike Ehrmantraut,05/01/2026,Vamonos Pest,"3,050"
Moe Szyslak,05/01/2026,Springfield Nuclear Plant,660
Dwight Schrute,06/01/2026,Pretzel Day Supplies,850
Howard Hamlin,06/01/2026,Nail Salon Office,790
Mike Ehrmantraut,07/01/2026,Los Pollos Hermanos,"1,290"
Gunther,07/01/2026,Vance Refrigeration,"2,100"
Phyllis Vance,07/01/2026,Dunder Mifflin Utica,430
Stanley Hudson,08/01/2026,San Diego Newsroom,210
Audrey Parker-Nichols,09/01/2026,Cornell Alumni Office,980
Andy Bernard,09/01/2026,Nashua Paper Co.,"1,750"
Karen Filippelli,09/01/2026,Michael Scott Paper Company,"3,000"
Michael Scott,10/01/2026,Parker-Nichols House,"3,020"
Josh Nichols,10/01/2026,Vesuvio Restaurant,890
Meadow Soprano,11/01/2026,Vecindario Peluche,940
Excelsa,11/01/2026,The Premiere Theater,460
Helen Dubois,11/01/2026,Phoebe's Massage Studio,150
Joey Tribbiani,12/01/2026,Vesuvio Restaurant,125
Meadow Soprano,12/01/2026,Art & Design Studio,250
Pam Beesly,12/01/2026,Lavandería Brillante,145
Saul Goodman,13/01/2026,Michael Scott Paper Company,60
Creed Bratton,13/01/2026,Scranton Accounting Group,640
Oscar Martinez,14/01/2026,Quality Assurance Unlimited,90
Creed Bratton,15/01/2026,Balde de Carnada,550
Arenita Mejillas,15/01/2026,Melfi Psychiatry,830
Dr. Melfi,15/01/2026,Crazy Steve Repairs,570
Helen Dubois,16/01/2026,Luna Park,"1,280"
Amy Wong,16/01/2026,Balde de Carnada,115
Bob Esponja,16/01/2026,Vesuvio Restaurant,155
Carmela Soprano,17/01/2026,Crustáceo Cascarudo,140
Arenita Mejillas,18/01/2026,Vamonos Pest,780
Hank Schrader,18/01/2026,Vesuvio Restaurant,150
Silvio Dante,20/01/2026,Domo de Arenita,640
Plankton,20/01/2026,New New York Office,310
Professor Farnsworth,21/01/2026,Balde de Carnada,190
Don Cangrejo,22/01/2026,Crazy Steve Repairs,105
Josh Nichols,22/01/2026,Vecindario Peluche,360
Ludovico Peluche,22/01/2026,Vecindario Peluche,340
Ludovico Peluche,22/01/2026,Leftorium,"1,800"
Mr. Burns,23/01/2026,Balde de Carnada,95
Gary,23/01/2026,San Diego Newsroom,140
Helen Dubois,23/01/2026,Springfield Nuclear Plant,105
Lisa Simpson,23/01/2026,HHM,"2,130"
Nacho Varga,23/01/2026,San Diego Newsroom,"2,500"
Walter Nichols,24/01/2026,Melfi Psychiatry,200
Carmela Soprano,24/01/2026,Monica's Apartment,"2,530"
Phoebe Buffay,25/01/2026,Robot Arms Apartments,"1,500"
Bender Rodríguez,25/01/2026,Fondo de Bikini,310
Gary,25/01/2026,Koothrappali Observatory,230
Penny Hofstadter,25/01/2026,Wolowitz Engineering,"1,070"
Sheldon Cooper,25/01/2026,DEA Albuquerque,"2,140"
Walter White,28/01/2026,New New York Office,310
Amy Wong,28/01/2026,Planet Express,530
Dr. Zoidberg,28/01/2026,Caltech Lab,390
Penny Hofstadter,28/01/2026,Phoebe's Massage Studio,990
Ross Geller,29/01/2026,742 Evergreen Terrace,800
Marge Simpson,29/01/2026,Pretzel Day Supplies,380
Pam Beesly,30/01/2026,Koothrappali Observatory,"1,220"
Bernadette Rostenkowski,30/01/2026,Albuquerque Courthouse,"1,210"
Chuck McGill,30/01/2026,Joey's Auditions,280
Rachel Green,31/01/2026,Mesa Verde Bank,250
Chuck McGill,31/01/2026,Balde de Carnada,"2,110"
Patricio Estrella,01/02/2026,Ciudad Peluche,"2,120"
Bibi Peluche,01/02/2026,Robot Arms Apartments,"1,010"
Dr. Zoidberg,01/02/2026,Amy's Neurobiology Lab,850
Leonard Hofstadter,02/02/2026,HHM,790
